event,date,fight,actual_winner,method,mma_guru_pick,mma_guru_correct,mma_joey_pick,mma_joey_correct
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Waldo Cortes Acosta vs Robelis Despaigne,Waldo Cortes Acosta,DEC,Robelis Despaigne,False,Robelis Despaigne,False
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Chase Hooper vs Viacheslav Borshchev,Chase Hooper,SUB,Viacheslav Borshchev,False,Viacheslav Borshchev,False
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Esteban Ribovics vs Terrance McKinney,Esteban Ribovics,KO/TKO,Terrance McKinney,False,Terrance McKinney,False
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Tabatha Ricci vs Tecia Pennington,Tabatha Ricci,DEC,Tecia Pennington,False,Tecia Pennington,False
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Trey Waters vs Billy Ray Goff,Trey Waters,DEC,Trey Waters,True,Trey Waters,True
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Charles Johnson vs Jake Hadley,Charles Johnson,DEC,Charles Johnson,True,Jake Hadley,False
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Veronica Hardy vs JJ Aldrich,Veronica Hardy,DEC,JJ Aldrich,False,Veronica Hardy,True
UFC 301: Pantoja vs. Erceg,2024-05-04,Alexandre Pantoja vs Steve Erceg,Alexandre Pantoja,DEC,Steve Erceg,False,Alexandre Pantoja,True
UFC 301: Pantoja vs. Erceg,2024-05-04,Jose Aldo vs Jonathan Martinez,Jose Aldo,DEC,Jose Aldo,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Anthony Smith vs Vitor Petrino,Anthony Smith,SUB,Vitor Petrino,False,Vitor Petrino,False
UFC 301: Pantoja vs. Erceg,2024-05-04,Michel Pereira vs Ihor Potieria,Michel Pereira,SUB,Michel Pereira,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Caio Borralho vs Paul Craig,Caio Borralho,KO/TKO,Caio Borralho,True,Caio Borralho,True
UFC 301: Pantoja vs. Erceg,2024-05-04,Joanderson Brito vs Jack Shore,Joanderson Brito,KO/TKO,Joanderson Brito,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Iasmin Lucindo vs Karolina Kowalkiewicz,Iasmin Lucindo,DEC,Iasmin Lucindo,True,Iasmin Lucindo,
UFC 301: Pantoja vs. Erceg,2024-05-04,Myktybek Orolbai vs Elves Brener,Myktybek Orolbai,DEC,Myktybek Orolbai,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Drakkar Klose vs Joaquim Silva,Drakkar Klose,DEC,Drakkar Klose,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Mauricio Ruffy vs Jamie Mullarkey,Mauricio Ruffy,KO/TKO,Mauricio Ruffy,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Dione Barbosa vs Ernesta Kareckaite,Dione Barbosa,DEC,Dione Barbosa,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Ismael Bonfim vs Vinc Pichel,Ismael Bonfim,DEC,Ismael Bonfim,True,,
UFC 301: Pantoja vs. Erceg,2024-05-04,Alessandro Costa vs Kevin Borjas,Alessandro Costa,KO/TKO,Alessandro Costa,True,,
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Alex Perez vs Matheus Nicolau,Alex Perez,KO/TKO,Matheus Nicolau,False,Matheus Nicolau,False
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Bogdan Guskov vs Ryan Spann,Bogdan Guskov,KO/TKO,Ryan Spann,False,Bogdan Guskov,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Karine Silva vs Ariane da Silva,Karine Silva,DEC,Karine Silva,True,Karine Silva,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Jhonata Diniz vs Austen Lane,Jhonata Diniz,KO/TKO,Jhonata Diniz,True,Austen Lane,False
UFC Fight Night: Nicolau vs. Perez,2024-04-27,David Onama vs Jonathan Pearce,David Onama,DEC,David Onama,True,David Onama,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Uros Medic vs Tim Means,Uros Medic,KO/TKO,Uros Medic,True,Uros Medic,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Victor Henry vs Rani Yahya,Victor Henry,KO/TKO,Victor Henry,True,Victor Henry,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Austin Hubbard vs Michal Figlak,Austin Hubbard,DEC,Michal Figlak,False,Michal Figlak,False
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Don'Tale Mayes vs Caio Machado,Don'Tale Mayes,DEC,Don'Tale Mayes,True,Don'Tale Mayes,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Ketlen Souza vs Marnic Mann,Ketlen Souza,DEC,Ketlen Souza,True,Ketlen Souza,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Chris Padilla vs James Llontop,Chris Padilla,SUB,James Llontop,False,James Llontop,False
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Ivana Petrovic vs Liang Na,Ivana Petrovic,SUB,Ivana Petrovic,True,Ivana Petrovic,True
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Maheshate vs Gabriel Benitez,Maheshate,DEC,—,,Maheshate,True
UFC 300: Pereira vs. Hill,2024-04-13,Alex Pereira vs Jamahal Hill,Alex Pereira,KO/TKO,Alex Pereira,True,Alex Pereira,True
UFC 300: Pereira vs. Hill,2024-04-13,Zhang Weili vs Yan Xiaonan,Zhang Weili,DEC,Zhang Weili,True,,
UFC 300: Pereira vs. Hill,2024-04-13,Max Holloway vs Justin Gaethje,Max Holloway,KO/TKO,Max Holloway,True,Justin Gaethje,False
UFC 300: Pereira vs. Hill,2024-04-13,Arman Tsarukyan vs Charles Oliveira,Arman Tsarukyan,DEC,Charles Oliveira,False,Arman Tsarukyan,True
UFC 300: Pereira vs. Hill,2024-04-13,Bo Nickal vs Cody Brundage,Bo Nickal,SUB,Bo Nickal,True,Bo Nickal,True
UFC 300: Pereira vs. Hill,2024-04-13,Jiri Prochazka vs Aleksandar Rakic,Jiri Prochazka,KO/TKO,Aleksandar Rakic,False,Jiri Prochazka,True
UFC 300: Pereira vs. Hill,2024-04-13,Aljamain Sterling vs Calvin Kattar,Aljamain Sterling,DEC,Aljamain Sterling,True,Aljamain Sterling,True
UFC 300: Pereira vs. Hill,2024-04-13,Kayla Harrison vs Holly Holm,Kayla Harrison,SUB,Kayla Harrison,True,Kayla Harrison,True
UFC 300: Pereira vs. Hill,2024-04-13,Diego Lopes vs Sodiq Yusuff,Diego Lopes,KO/TKO,Diego Lopes,True,,
UFC 300: Pereira vs. Hill,2024-04-13,Renato Moicano vs Jalin Turner,Renato Moicano,KO/TKO,Renato Moicano,True,Renato Moicano,True
UFC 300: Pereira vs. Hill,2024-04-13,Jessica Andrade vs Marina Rodriguez,Jessica Andrade,DEC,Marina Rodriguez,False,,
UFC 300: Pereira vs. Hill,2024-04-13,King Green vs Jim Miller,King Green,DEC,Jim Miller,False,Jim Miller,False
UFC 300: Pereira vs. Hill,2024-04-13,Deiveson Figueiredo vs Cody Garbrandt,Deiveson Figueiredo,SUB,Cody Garbrandt,False,Deiveson Figueiredo,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Brendan Allen vs Chris Curtis,Brendan Allen,DEC,Brendan Allen,True,Chris Curtis,False
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Damon Jackson vs Alexander Hernandez,Damon Jackson,DEC,Alexander Hernandez,False,Alexander Hernandez,False
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Chepe Mariscal vs Morgan Charriere,Chepe Mariscal,DEC,Morgan Charriere,False,Morgan Charriere,False
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Ignacio Bahamondes vs Christos Giagos,Ignacio Bahamondes,KO/TKO,Ignacio Bahamondes,True,Ignacio Bahamondes,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Charlie Campbell vs Trevor Peek,Charlie Campbell,DEC,Charlie Campbell,True,Charlie Campbell,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Alex Morono vs Court McGee,Alex Morono,DEC,Alex Morono,True,Alex Morono,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Lukasz Brzeski vs Valter Walker,Lukasz Brzeski,DEC,Valter Walker,False,Valter Walker,False
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Norma Dumont vs Germaine de Randamie,Norma Dumont,DEC,Norma Dumont,True,Norma Dumont,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Victor Hugo vs Pedro Falcao,Victor Hugo,DEC,Victor Hugo,True,,
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Jean Matsumoto vs Dan Argueta,Jean Matsumoto,SUB,Jean Matsumoto,True,Jean Matsumoto,True
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Cesar Almeida vs Dylan Budka,Cesar Almeida,KO/TKO,Dylan Budka,False,Dylan Budka,False
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Nora Cornolle vs Melissa Mullins,Nora Cornolle,KO/TKO,Melissa Mullins,False,Melissa Mullins,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Manon Fiorot vs Erin Blanchfield,Manon Fiorot,DEC,Erin Blanchfield,False,Erin Blanchfield,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Joaquin Buckley vs Vicente Luque,Joaquin Buckley,KO/TKO,Vicente Luque,False,Vicente Luque,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Chris Weidman vs Bruno Silva,Chris Weidman,DEC,Bruno Silva,False,Bruno Silva,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Nursulton Ruziboev vs Sedriques Dumas,Nursulton Ruziboev,KO/TKO,Nursulton Ruziboev,True,Nursulton Ruziboev,True
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Kyle Nelson vs Bill Algeo,Kyle Nelson,KO/TKO,Bill Algeo,False,Bill Algeo,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Chidi Njokuani vs Rhys McKee,Chidi Njokuani,DEC,Chidi Njokuani,True,Rhys McKee,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Nate Landwehr vs Jamall Emmers,Nate Landwehr,KO/TKO,Jamall Emmers,False,Jamall Emmers,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Virna Jandiroba vs Loopy Godinez,Virna Jandiroba,DEC,Loopy Godinez,False,Loopy Godinez,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Julio Arce vs Herbert Burns,Julio Arce,KO/TKO,Julio Arce,True,Julio Arce,True
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Dennis Buzukja vs Connor Matthews,Dennis Buzukja,KO/TKO,Connor Matthews,False,Connor Matthews,False
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Ibo Aslan vs Anton Turkalj,Ibo Aslan,KO/TKO,Ibo Aslan,True,Ibo Aslan,True
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Jacob Malkoun vs Andre Petroski,Jacob Malkoun,KO/TKO,Jacob Malkoun,True,Jacob Malkoun,True
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Caolan Loughran vs Angel Pacheco,Caolan Loughran,DEC,Caolan Loughran,True,Caolan Loughran,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Rose Namajunas vs Amanda Ribas,Rose Namajunas,DEC,Rose Namajunas,True,Rose Namajunas,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Karl Williams vs Justin Tafa,Karl Williams,DEC,Karl Williams,True,Karl Williams,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Edmen Shahbazyan vs AJ Dobson,Edmen Shahbazyan,KO/TKO,Edmen Shahbazyan,True,Edmen Shahbazyan,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Payton Talbott vs Cameron Saaiman,Payton Talbott,KO/TKO,Cameron Saaiman,False,Payton Talbott,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Youssef Zalal vs Billy Quarantillo,Youssef Zalal,SUB,Youssef Zalal,True,Youssef Zalal,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Fernando Padilla vs Luis Pajuelo,Fernando Padilla,SUB,Luis Pajuelo,False,Fernando Padilla,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Trey Ogden vs Kurt Holobaugh,Trey Ogden,DEC,Kurt Holobaugh,False,Kurt Holobaugh,False
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Julian Erosa vs Ricardo Ramos,Julian Erosa,SUB,Ricardo Ramos,False,Ricardo Ramos,False
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Miles Johns vs Cody Gibson,Miles Johns,DEC,Cody Gibson,False,Cody Gibson,False
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Jarno Errens vs Steven Nguyen,Jarno Errens,DEC,Steven Nguyen,False,Steven Nguyen,False
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Daria Zhelezniakova vs Montse Rendon,Daria Zhelezniakova,DEC,Daria Zhelezniakova,True,Montse Rendon,False
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Andre Lima vs Igor Severino,Andre Lima,DQ,Andre Lima,True,Andre Lima,True
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Mick Parkin vs Mohammed Usman,Mick Parkin,DEC,Mohammed Usman,False,Mohammed Usman,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Marcin Tybura vs Tai Tuivasa,Marcin Tybura,SUB,Tai Tuivasa,False,Tai Tuivasa,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Bryan Battle vs Ange Loosa,,NC,Bryan Battle,,Bryan Battle,
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Ovince Saint Preux vs Kennedy Nzechukwu,Ovince Saint Preux,DEC,Kennedy Nzechukwu,False,Kennedy Nzechukwu,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Christian Rodriguez vs Isaac Dulgarian,Christian Rodriguez,DEC,Isaac Dulgarian,False,Isaac Dulgarian,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Macy Chiasson vs Pannie Kianzad,Macy Chiasson,SUB,Macy Chiasson,True,Macy Chiasson,True
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Gerald Meerschaert vs Bryan Barberena,Gerald Meerschaert,SUB,Gerald Meerschaert,True,Gerald Meerschaert,True
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Mike Davis vs Natan Levy,Mike Davis,SUB,Mike Davis,True,Natan Levy,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Chelsea Chandler vs Josiane Nunes,Chelsea Chandler,DEC,Josiane Nunes,False,Josiane Nunes,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Jafel Filho vs Ode Osbourne,Jafel Filho,SUB,Jafel Filho,True,Jafel Filho,True
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Danny Silva vs Josh Culibao,Danny Silva,DEC,Danny Silva,True,Josh Culibao,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Jaqueline Amorim vs Cory McKenna,Jaqueline Amorim,SUB,Cory McKenna,False,Cory McKenna,False
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Thiago Moises vs Mitch Ramirez,Thiago Moises,KO/TKO,,,Thiago Moises,True
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Chad Anheliger vs Charalampos Grigoriou,Chad Anheliger,DEC,Chad Anheliger,True,Charalampos Grigoriou,False
UFC 299: O'Malley vs. Vera 2,2024-03-09,Sean O'Malley vs Marlon Vera,Sean O'Malley,DEC,Sean O'Malley,True,Sean O'Malley,True
UFC 299: O'Malley vs. Vera 2,2024-03-09,Dustin Poirier vs Benoit Saint Denis,Dustin Poirier,KO/TKO,Benoit Saint Denis,False,Dustin Poirier,True
UFC 299: O'Malley vs. Vera 2,2024-03-09,Michael Page vs Kevin Holland,Michael Page,DEC,Michael Page,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Jack Della Maddalena vs Gilbert Burns,Jack Della Maddalena,KO/TKO,Jack Della Maddalena,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Petr Yan vs Song Yadong,Petr Yan,DEC,Petr Yan,True,Petr Yan,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Curtis Blaydes vs Jailton Almeida,Curtis Blaydes,KO/TKO,Jailton Almeida,False,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Maycee Barber vs Katlyn Cerminara,Maycee Barber,DEC,Maycee Barber,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Mateusz Gamrot vs Rafael Dos Anjos,Mateusz Gamrot,DEC,Mateusz Gamrot,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Kyler Phillips vs Pedro Munhoz,Kyler Phillips,DEC,Pedro Munhoz,False,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Philipe Lins vs Ion Cutelaba,Philipe Lins,DEC,Ion Cutelaba,False,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Michel Pereira vs Michal Oleksiejczuk,Michel Pereira,SUB,Michal Oleksiejczuk,False,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Robelis Despaigne vs Josh Parisian,Robelis Despaigne,KO/TKO,Robelis Despaigne,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Asu Almabayev vs CJ Vergara,Asu Almabayev,DEC,Asu Almabayev,True,,
UFC 299: O'Malley vs. Vera 2,2024-03-09,Joanne Wood vs Maryna Moroz,Joanne Wood,DEC,Maryna Moroz,False,,
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Jairzinho Rozenstruik vs Shamil Gaziev,Jairzinho Rozenstruik,KO/TKO,Jairzinho Rozenstruik,True,Shamil Gaziev,False
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Vitor Petrino vs Tyson Pedro,Vitor Petrino,DEC,Vitor Petrino,True,Vitor Petrino,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Muhammad Mokaev vs Alex Perez,Muhammad Mokaev,DEC,Muhammad Mokaev,True,Muhammad Mokaev,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Umar Nurmagomedov vs Bekzat Almakhan,Umar Nurmagomedov,DEC,Umar Nurmagomedov,True,Umar Nurmagomedov,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Steve Erceg vs Matt Schnell,Steve Erceg,KO/TKO,Steve Erceg,True,Steve Erceg,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Eryk Anders vs Jamie Pickett,Eryk Anders,DEC,Eryk Anders,True,Eryk Anders,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Vinicius Oliveira vs Benardo Sopaj,Vinicius Oliveira,KO/TKO,,,,
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Aiemann Zahabi vs Javid Basharat,Aiemann Zahabi,DEC,Javid Basharat,False,Javid Basharat,False
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Christian Leroy Duncan vs Claudio Ribeiro,Christian Leroy Duncan,KO/TKO,Christian Leroy Duncan,True,Christian Leroy Duncan,True
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Ludovit Klein vs AJ Cunningham,Ludovit Klein,KO/TKO,Ludovit Klein,True,,
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Loik Radzhabov vs Abdul-Kareem Al-Selwady,Loik Radzhabov,KO/TKO,Abdul-Kareem Al-Selwady,False,Abdul-Kareem Al-Selwady,False
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Brandon Royval vs Brandon Moreno,Brandon Royval,DEC,Brandon Moreno,False,Brandon Moreno,False
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Brian Ortega vs Yair Rodriguez,Brian Ortega,SUB,Yair Rodriguez,False,Yair Rodriguez,False
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Daniel Zellhuber vs Francisco Prado,Daniel Zellhuber,DEC,Francisco Prado,False,Daniel Zellhuber,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Yazmin Jauregui vs Sam Hughes,Yazmin Jauregui,DEC,Yazmin Jauregui,True,Yazmin Jauregui,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Manuel Torres vs Chris Duncan,Manuel Torres,SUB,Manuel Torres,True,Manuel Torres,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Raoni Barcelos vs Cristian Quinonez,Raoni Barcelos,SUB,Raoni Barcelos,True,Cristian Quinonez,False
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Jesus Aguilar vs Mateus Mendonca,Jesus Aguilar,DEC,Mateus Mendonca,False,Mateus Mendonca,False
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Edgar Chairez vs Daniel Lacerda,Edgar Chairez,SUB,Edgar Chairez,True,Edgar Chairez,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Fares Ziam vs Claudio Puelles,Fares Ziam,DEC,Fares Ziam,True,Fares Ziam,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Ronaldo Rodriguez vs Denys Bondar,Ronaldo Rodriguez,SUB,Denys Bondar,False,Ronaldo Rodriguez,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Felipe dos Santos vs Victor Altamirano,Felipe dos Santos,DEC,Felipe dos Santos,True,Felipe dos Santos,True
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Muhammad Naimov vs Erik Silva,Muhammad Naimov,KO/TKO,Muhammad Naimov,True,Muhammad Naimov,True
UFC 298: Volkanovski vs. Topuria,2024-02-17,Ilia Topuria vs Alexander Volkanovski,Ilia Topuria,KO/TKO,Ilia Topuria,True,Ilia Topuria,True
UFC 298: Volkanovski vs. Topuria,2024-02-17,Robert Whittaker vs Paulo Costa,Robert Whittaker,DEC,Robert Whittaker,True,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Ian Machado Garry vs Geoff Neal,Ian Machado Garry,DEC,Geoff Neal,False,Ian Machado Garry,True
UFC 298: Volkanovski vs. Topuria,2024-02-17,Merab Dvalishvili vs Henry Cejudo,Merab Dvalishvili,DEC,Merab Dvalishvili,True,Merab Dvalishvili,True
UFC 298: Volkanovski vs. Topuria,2024-02-17,Anthony Hernandez vs Roman Kopylov,Anthony Hernandez,SUB,Anthony Hernandez,True,Roman Kopylov,False
UFC 298: Volkanovski vs. Topuria,2024-02-17,Amanda Lemos vs Mackenzie Dern,Amanda Lemos,DEC,Amanda Lemos,True,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Marcos Rogerio de Lima vs Junior Tafa,Marcos Rogerio de Lima,KO/TKO,Marcos Rogerio de Lima,True,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Rinya Nakamura vs Carlos Vera,Rinya Nakamura,DEC,Rinya Nakamura,True,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Zhang Mingyang vs Brendson Ribeiro,Zhang Mingyang,KO/TKO,Brendson Ribeiro,False,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Danny Barlow vs Josh Quinlan,Danny Barlow,KO/TKO,Danny Barlow,True,Danny Barlow,True
UFC 298: Volkanovski vs. Topuria,2024-02-17,Oban Elliott vs Val Woodburn,Oban Elliott,DEC,Oban Elliott,True,,
UFC 298: Volkanovski vs. Topuria,2024-02-17,Miranda Maverick vs Andrea Lee,Miranda Maverick,DEC,Miranda Maverick,True,,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Jack Hermansson vs Joe Pyfer,Jack Hermansson,DEC,Joe Pyfer,False,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Dan Ige vs Andre Fili,Dan Ige,KO/TKO,Dan Ige,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Ihor Potieria vs Robert Bryczek,Ihor Potieria,DEC,Robert Bryczek,False,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Gregory Rodrigues vs Brad Tavares,Gregory Rodrigues,KO/TKO,Gregory Rodrigues,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Michael Johnson vs Darrius Flowers,Michael Johnson,DEC,Michael Johnson,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Rodolfo Vieira vs Armen Petrosyan,Rodolfo Vieira,SUB,Armen Petrosyan,False,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Carlos Prates vs Trevin Giles,Carlos Prates,KO/TKO,Carlos Prates,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Bolaji Oki vs Timmy Cuamba,Bolaji Oki,DEC,Bolaji Oki,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Loma Lookboonmee vs Bruna Brasil,Loma Lookboonmee,DEC,Loma Lookboonmee,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Marcin Prachnio vs Devin Clark,Marcin Prachnio,DEC,Marcin Prachnio,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Max Griffin vs Jeremiah Wells,Max Griffin,DEC,Jeremiah Wells,False,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Bogdan Guskov vs Zac Pauga,Bogdan Guskov,KO/TKO,Bogdan Guskov,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Hyder Amil vs Fernie Garcia,Hyder Amil,KO/TKO,Hyder Amil,True,—,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Daniel Marcos vs Aoriqileng,,NC,Daniel Marcos,,—,
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Nassourdine Imavov vs Roman Dolidze,Nassourdine Imavov,DEC,Nassourdine Imavov,True,Nassourdine Imavov,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Renato Moicano vs Drew Dober,Renato Moicano,DEC,Drew Dober,False,Renato Moicano,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Randy Brown vs Muslim Salikhov,Randy Brown,KO/TKO,Randy Brown,True,Randy Brown,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Natalia Silva vs Viviane Araujo,Natalia Silva,DEC,Natalia Silva,True,Natalia Silva,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Aliaskhab Khizriev vs Makhmud Muradov,,NC,Aliaskhab Khizriev,,Aliaskhab Khizriev,
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Charles Radtke vs Gilbert Urbina,Charles Radtke,KO/TKO,Gilbert Urbina,False,Gilbert Urbina,False
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Molly McCann vs Diana Belbita,Molly McCann,SUB,Molly McCann,True,Diana Belbita,False
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Charles Johnson vs Azat Maksum,Charles Johnson,DEC,Azat Maksum,False,Azat Maksum,False
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Themba Gorimbo vs Pete Rodriguez,Themba Gorimbo,KO/TKO,Themba Gorimbo,True,Themba Gorimbo,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,JeongYeong Lee vs Blake Bilder,JeongYeong Lee,DEC,JeongYeong Lee,True,JeongYeong Lee,True
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Luana Carolina vs Julija Stoliarenko,Luana Carolina,KO/TKO,Luana Carolina,True,Julija Stoliarenko,False
